106 ,79 ,135 ,126 ,58 ,29 ,34 ,140 ,87 ,36
,48 ,84 ,118 ,133 ,136 ,98 ,100 ,99 ,91 ,132
,114 ,54 ,99 ,119 ,131 ,61 ,100 ,34 ,3 ,142
,107 ,125 ,144 ,12 ,11 ,134 ,52 ,141 ,135 ,36
,40 ,44 ,133 ,132 ,68 ,5 ,34 ,25 ,145 ,97
,36 ,69 ,9 ,1 ,92 ,105 ,66 ,122 ,89 ,47
,112 ,110 ,4 ,61 ,73 ,17 ,147 ,66 ,148 ,75
,13 ,9 ,73 ,115 ,63 ,137 ,127 ,100 ,105 ,44
,118 ,119 ,80 ,67 ,14 ,58 ,26 ,103 ,21 ,106
,94 ,41 ,105 ,118 ,14 ,62 ,17 ,28 ,113 ,93
,20 ,149 ,4 ,116 ,100 ,68 ,52 ,45 ,7 ,17
,17 ,1 ,42 ,36 ,80 ,65 ,63 ,119 ,114 ,133
,129 ,37 ,72 ,14 ,9 ,63 ,66 ,74 ,91 ,137
,15 ,110 ,100 ,86 ,74 ,133 ,19 ,140 ,67 ,137
,1 ,106 ,51 ,136 ,83 ,56 ,46 ,61 ,47 ,112
,45 ,76 ,107 ,30 ,71 ,17 ,91 ,131 ,111 ,62
,51 ,14 ,3 ,29 ,26 ,88 ,42 ,47 ,70 ,94
,118 ,103 ,62 ,30 ,8 ,96 ,35 ,146 ,128 ,78
,44 ,52 ,137 ,27 ,13 ,71 ,113 ,87 ,92 ,119
,7 ,58 ,76 ,10 ,55 ,13 ,118 ,103 ,140 ,52
,4 ,142 ,50 ,45 ,2 ,58 ,108 ,137 ,148 ,78
,33 ,118 ,7 ,146 ,111 ,92 ,24 ,95 ,16 ,100
,122 ,92 ,115 ,35 ,54 ,5 ,80 ,98 ,119 ,112
,21 ,8 ,75 ,28 ,12 ,125 ,66 ,69 ,57 ,1
,106 ,122 ,129 ,10 ,71 ,22 ,103 ,93 ,84 ,8
,79 ,116 ,115 ,1 ,49 ,70 ,122 ,50 ,6 ,55
,31 ,23 ,105 ,47 ,142 ,101 ,6 ,79 ,15 ,48
,82 ,6 ,100 ,5 ,120 ,101 ,59 ,121 ,25 ,62
,7 ,1 ,62 ,83 ,126 ,121 ,11 ,35 ,108 ,130
,19 ,99 ,66 ,95 ,101 ,118 ,123 ,34 ,72 ,10
,134 ,79 ,35 ,46 ,114 ,11 ,12 ,61 ,96 ,83
,96 ,15 ,118 ,26 ,41 ,57 ,2 ,38 ,89 ,48
,72 ,121 ,33 ,17 ,139 ,9 ,97 ,16 ,28 ,61
,41 ,138 ,88 ,16 ,53 ,121 ,125 ,93 ,108 ,68
,144 ,140 ,34 ,52 ,122 ,17 ,45 ,33 ,131 ,4
,72 ,121 ,40 ,98 ,132 ,73 ,84 ,96 ,143 ,95
,23 ,140 ,133 ,7 ,92 ,53 ,86 ,77 ,88 ,43
,2 ,90 ,4 ,54 ,46 ,53 ,73 ,36 ,50 ,52
,53 ,132 ,29 ,127 ,73 ,52 ,28 ,7 ,8 ,51
,104 ,78 ,127 ,15 ,114 ,87 ,80 ,12 ,92 ,133
,12 ,114 ,18 ,110 ,28 ,71 ,129 ,102 ,8 ,72
,145 ,80 ,97 ,49 ,39 ,126 ,58 ,100 ,38 ,107
,135 ,144 ,65 ,38 ,112 ,3 ,99 ,142 ,82 ,116
,3 ,83 ,107 ,21 ,30 ,92 ,25 ,112 ,108 ,5
,10 ,147 ,143 ,114 ,19 ,38 ,127 ,72 ,132 ,78
,103 ,109 ,139 ,83 ,116 ,65 ,118 ,18 ,87 ,5
,122 ,79 ,142 ,114 ,14 ,141 ,56 ,123 ,138 ,65
,29 ,140 ,67 ,74 ,110 ,28 ,45 ,86 ,30 ,109
,8 ,37 ,4 ,94 ,74 ,52 ,73 ,133 ,67 ,19
,104 ,97 ,30 ,58 ,138 ,95 ,9 ,100 ,64 ,22
,105 ,35 ,95 ,140 ,122 ,98 ,96 ,120 ,50 ,16
,131 ,110 ,83 ,32 ,119 ,79 ,8 ,143 ,61 ,121
,6 ,56 ,34 ,14 ,86 ,130 ,95 ,147 ,60 ,37
,66 ,140 ,55 ,97 ,145 ,134 ,26 ,119 ,82 ,114
,105 ,63 ,93 ,112 ,2 ,65 ,18 ,13 ,57 ,129
,124 ,26 ,23 ,93 ,21 ,149 ,148 ,130 ,135 ,53
,125 ,91 ,149 ,135 ,35 ,52 ,122 ,132 ,130 ,19
,62 ,74 ,114 ,41 ,34 ,124 ,147 ,90 ,55 ,51
,56 ,11 ,42 ,104 ,17 ,67 ,36 ,18 ,79 ,26
,24 ,68 ,35 ,22 ,76 ,40 ,144 ,47 ,10 ,97
,118 ,33 ,146 ,29 ,65 ,123 ,134 ,109 ,142 ,94
,107 ,61 ,11 ,24 ,6 ,118 ,19 ,135 ,35 ,74
,29 ,55 ,5 ,38 ,50 ,51 ,100 ,124 ,63 ,133
,104 ,65 ,57 ,120 ,79 ,92 ,76 ,12 ,37 ,31
,92 ,79 ,64 ,43 ,59 ,100 ,30 ,5 ,4 ,48
,90 ,135 ,111 ,125 ,18 ,64 ,140 ,123 ,148 ,9
,69 ,56 ,21 ,47 ,88 ,7 ,98 ,141 ,97 ,62
,131 ,140 ,91 ,49 ,89 ,9 ,100 ,22 ,118 ,110
,116 ,44 ,133 ,62 ,102 ,135 ,41 ,147 ,88 ,11
,137 ,43 ,76 ,42 ,85 ,2 ,141 ,56 ,26 ,81
,84 ,99 ,105 ,71 ,67 ,42 ,128 ,109 ,9 ,121
,61 ,101 ,33 ,16 ,63 ,90 ,41 ,73 ,100 ,47
,148 ,47 ,37 ,17 ,27 ,83 ,8 ,5 ,146 ,28
,44 ,55 ,91 ,37 ,117 ,81 ,20 ,141 ,71 ,147
,58 ,37 ,35 ,103 ,81 ,76 ,21 ,148 ,51 ,52
,53 ,108 ,16 ,84 ,136 ,82 ,127 ,24 ,33 ,22
,38 ,117 ,57 ,78 ,67 ,35 ,119 ,73 ,11 ,94
,126 ,11 ,43 ,69 ,143 ,135 ,47 ,83 ,16 ,140
,49 ,44 ,110 ,20 ,78 ,142 ,94 ,118 ,54 ,138
,60 ,22 ,89 ,54 ,44 ,117 ,97 ,120 ,135 ,127
,70 ,47 ,105 ,76 ,146 ,14 ,33 ,36 ,132 ,71
,21 ,127 ,131 ,98 ,75 ,53 ,58 ,86 ,56 ,124
,11 ,105 ,108 ,31 ,103 ,115 ,51 ,18 ,90 ,131
,21 ,72 ,133 ,20 ,117 ,50 ,147 ,91 ,103 ,96
,112 ,136 ,94 ,74 ,46 ,96 ,97 ,131 ,137 ,69
,137 ,133 ,113 ,99 ,21 ,19 ,51 ,35 ,1 ,25
,22 ,3 ,88 ,146 ,103 ,35 ,87 ,77 ,45 ,70
,127 ,133 ,131 ,91 ,21 ,115 ,136 ,27 ,33 ,149
,44 ,15 ,69 ,84 ,80 ,118 ,81 ,22 ,48 ,96
,62 ,141 ,114 ,120 ,71 ,146 ,18 ,47 ,86 ,100
,85 ,2 ,81 ,90 ,125 ,18 ,20 ,16 ,19 ,52
,74 ,19 ,18 ,27 ,145 ,130 ,77 ,119 ,123 ,80
,81 ,131 ,102 ,110 ,129 ,139 ,105 ,78 ,125 ,148
,54 ,120 ,130 ,93 ,138 ,4 ,9 ,118 ,124 ,76
,111 ,140 ,123 ,116 ,49 ,74 ,17 ,83 ,40 ,98
,29 ,15 ,6 ,128 ,23 ,8 ,114 ,146 ,106 ,109
,49 ,136 ,20 ,91 ,33 ,122 ,1 ,25 ,51 ,83
,101 ,121 ,78 ,55 ,16 ,64 ,87 ,96 ,25 ,51
,63 ,39 ,79 ,28 ,66 ,27 ,137 ,110 ,117 ,48
,60 ,14 ,120 ,142 ,9 ,118 ,74 ,82 ,4 ,49
,61 ,86 ,100 ,147 ,65 ,74 ,76 ,112 ,122 ,73
,38 ,135 ,14 ,139 ,19 ,44 ,147 ,111 ,71 ,17
,135 ,43 ,48 ,71 ,36 ,3 ,136 ,72 ,7 ,57
,74 ,109 ,69 ,27 ,142 ,82 ,67 ,48 ,138 ,56
,55 ,97 ,94 ,123 ,26 ,14 ,35 ,69 ,106 ,72
,13 ,36 ,146 ,8 ,139 ,87 ,12 ,40 ,24 ,57
,42 ,53 ,117 ,78 ,11 ,34 ,30 ,81 ,12 ,61
,145 ,29 ,66 ,90 ,76 ,64 ,49 ,142 ,40 ,3
,25 ,56 ,36 ,149 ,35 ,125 ,16 ,34 ,45 ,12
,135 ,133 ,15 ,134 ,43 ,46 ,136 ,18 ,60 ,44
,95 ,97 ,56 ,31 ,128 ,111 ,18 ,58 ,59 ,81
,27 ,35 ,144 ,51 ,79 ,64 ,94 ,18 ,39 ,32
,30 ,101 ,64 ,66 ,62 ,69 ,122 ,8 ,56 ,58
,13 ,81 ,133 ,82 ,132 ,61 ,50 ,76 ,34 ,46
,4 ,101 ,54 ,37 ,117 ,114 ,44 ,121 ,131 ,135
,103 ,61 ,55 ,37 ,107 ,15 ,51 ,140 ,49 ,66
,115 ,30 ,126 ,54 ,33 ,108 ,34 ,27 ,91 ,102
,127 ,27 ,92 ,29 ,145 ,146 ,115 ,125 ,46 ,65
,63 ,51 ,74 ,97 ,10 ,114 ,9 ,44 ,34 ,21
,4 ,103 ,149 ,39 ,70 ,117 ,48 ,148 ,71 ,92
,37 ,35 ,62 ,80 ,146 ,17 ,147 ,29 ,100 ,125
,4 ,142 ,95 ,76 ,66 ,15 ,46 ,82 ,94 ,72
,80 ,127 ,39 ,86 ,121 ,44 ,5 ,29 ,21 ,25
,118 ,111 ,35 ,71 ,68 ,3 ,53 ,47 ,26 ,112
,53 ,15 ,30 ,126 ,32 ,78 ,113 ,144 ,65 ,21
,36 ,97 ,89 ,138 ,33 ,112 ,103 ,65 ,119 ,137
,1 ,17 ,74 ,21 ,29 ,149 ,142 ,148 ,121 ,131
,123 ,90 ,98 ,131 ,76 ,8 ,65 ,40 ,147 ,27
,145 ,132 ,58 ,103 ,49 ,99 ,142 ,113 ,146 ,6
,82 ,117 ,65 ,1 ,62 ,86 ,44 ,73 ,96 ,78
,103 ,67 ,41 ,92 ,49 ,132 ,44 ,16 ,95 ,109
,80 ,136 ,147 ,25 ,79 ,40 ,72 ,27 ,125 ,87
,100 ,114 ,125 ,115 ,73 ,39 ,36 ,45 ,24 ,64
,53 ,68 ,95 ,127 ,92 ,19 ,89 ,132 ,39 ,135
,33 ,61 ,115 ,88 ,60 ,128 ,130 ,46 ,39 ,94
,54 ,85 ,135 ,38 ,79 ,94 ,30 ,134 ,50 ,47
,93 ,65 ,40 ,112 ,41 ,1 ,86 ,78 ,45 
